"waterBodyId","waterBodyName","studyId","studyName","studyDates","parameterId","parameterType","parameterName","parameterUnit","parameterLimit","parameterLimitText","v","vText","k","point"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",4,"Físicoquimico","Conductividad","microsiemens por centímetro",0,"--",519,"519","RZ-01","Río Zula"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",4,"Físicoquimico","Conductividad","microsiemens por centímetro",0,"--",853,"853","RS-03","Ex-hacienda Zap."
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",4,"Físicoquimico","Conductividad","microsiemens por centímetro",0,"--",693,"693","RS-04","Salto-Juanacatlán"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",4,"Físicoquimico","Conductividad","microsiemens por centímetro",0,"--",735,"735","RS-05","Puente Grande"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",4,"Físicoquimico","Conductividad","microsiemens por centímetro",0,"--",787,"787","AA-02","El Muelle"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",4,"Físicoquimico","Conductividad","microsiemens por centímetro",0,"--",673,"673","RS-06","Matatlán"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",4,"Físicoquimico","Conductividad","microsiemens por centímetro",0,"--",656,"656","RS-07","Paso de Gpe."
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",4,"Físicoquimico","Conductividad","microsiemens por centímetro",0,"--",761,"761","RS-08","Cristóbal de la B."
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",4,"Físicoquimico","Conductividad","microsiemens por centímetro",0,"--",591,"591","RS-09","Camino Salvador"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",4,"Físicoquimico","Conductividad","microsiemens por centímetro",0,"--",791,"791","RS-10","Paso La Yesca"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",16,"Físicoquimico","Demanda bioquímica de oxígeno","miligramos por litro",1.26,"<1.26",7.59,"7.59","RS-01","Ocotlán"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",16,"Físicoquimico","Demanda bioquímica de oxígeno","miligramos por litro",1.26,"<1.26",3.36,"3.36","RS-02","Presa Corona"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",16,"Físicoquimico","Demanda bioquímica de oxígeno","miligramos por litro",1.26,"<1.26",27.9,"27.90","AA-01","Carr. Chapala"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",16,"Físicoquimico","Demanda bioquímica de oxígeno","miligramos por litro",1.26,"<1.26",12.36,"12.36","RZ-01","Río Zula"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",16,"Físicoquimico","Demanda bioquímica de oxígeno","miligramos por litro",1.26,"<1.26",11.52,"11.52","RS-03","Ex-hacienda Zap."
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",16,"Físicoquimico","Demanda bioquímica de oxígeno","miligramos por litro",1.26,"<1.26",12,"12.00","RS-04","Salto-Juanacatlán"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",16,"Físicoquimico","Demanda bioquímica de oxígeno","miligramos por litro",1.26,"<1.26",6.18,"6.18","RS-05","Puente Grande"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",16,"Físicoquimico","Demanda bioquímica de oxígeno","miligramos por litro",1.26,"<1.26",14.37,"14.37","AA-02","El Muelle"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",16,"Físicoquimico","Demanda bioquímica de oxígeno","miligramos por litro",1.26,"<1.26",21.18,"21.18","RS-06","Matatlán"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",16,"Físicoquimico","Demanda bioquímica de oxígeno","miligramos por litro",1.26,"<1.26",18.48,"18.48","RS-07","Paso de Gpe."
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",16,"Físicoquimico","Demanda bioquímica de oxígeno","miligramos por litro",1.26,"<1.26",30.66,"30.66","RS-08","Cristóbal de la B."
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",16,"Físicoquimico","Demanda bioquímica de oxígeno","miligramos por litro",1.26,"<1.26",11.79,"11.79","RS-09","Camino Salvador"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",16,"Físicoquimico","Demanda bioquímica de oxígeno","miligramos por litro",1.26,"<1.26",12.48,"12.48","RS-10","Paso La Yesca"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",17,"Físicoquimico","Demanda química de oxígeno","miligramos por litro",25,"<25.00",35.42,"35.42","RS-01","Ocotlán"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",17,"Físicoquimico","Demanda química de oxígeno","miligramos por litro",25,"<25.00",35.91,"35.91","RS-02","Presa Corona"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",17,"Físicoquimico","Demanda química de oxígeno","miligramos por litro",25,"<25.00",84.13,"84.13","AA-01","Carr. Chapala"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",17,"Físicoquimico","Demanda química de oxígeno","miligramos por litro",25,"<25.00",53.63,"53.63","RZ-01","Río Zula"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",17,"Físicoquimico","Demanda química de oxígeno","miligramos por litro",25,"<25.00",46.74,"46.74","RS-03","Ex-hacienda Zap."
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",17,"Físicoquimico","Demanda química de oxígeno","miligramos por litro",25,"<25.00",39.85,"39.85","RS-04","Salto-Juanacatlán"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",17,"Físicoquimico","Demanda química de oxígeno","miligramos por litro",25,"<25.00",49.2,"49.20","RS-05","Puente Grande"
1,"Río Santiago",632,"2020-07-15","15, 20, 21, 22, 30 y 31 de julio del 2020",17,"Físicoquimico","Demanda química de oxígeno","miligramos por litro",25,"<25.00",66.91,"66.91","AA-02","El Muelle"
